time [min],substrate,product1,product2
0.0,7490.738524008894,8173.848198052318,595793.6146396337
15.0,,,895057.2512190319
15.033333333333333,,9091.053069808027,
30.033333333333335,,10096.823838864306,948364.6706799757
45.03333333333333,,,767800.2308993981
45.083333333333336,,10893.121824168678,
60.06666666666667,,11078.761028649335,801553.0392866961
75.1,,11189.39375695329,1465203.2360645065
90.1,,11602.749439972551,
90.11666666666666,,,702597.9459432226
105.15,,,3515.8795461663162
105.16666666666667,,20269.15263502218,
120.16666666666667,,19422.604259525076,
120.18333333333334,,,7163.715349651233
135.2,,20035.426742092754,
135.21666666666667,,,8084.232776179027
150.2,,20696.087236495932,
150.25,,,9943.491392470853
165.23333333333332,,19569.884123471344,
165.28333333333333,,,3464.5537529452354
180.26666666666668,2439.6429662996356,19993.133207950228,
180.35,,,3892.195222284142
195.28333333333333,,20519.677763391035,
195.36666666666667,,,4494.517329565048
210.31666666666666,,19870.570528165612,
210.41666666666666,,,3076.0822474878587
225.35,4388.146161644332,18100.106532289577,
225.43333333333334,,,2825.859758530711
240.38333333333333,3673.159235237882,19435.46584344246,
240.43333333333334,,,1076.9659840620484
255.41666666666666,3350.763884259742,19623.228171460225,
255.46666666666667,,,1051.043413502937
270.45,,21069.098808304214,
270.5,,,3039.4895741548157
285.51666666666665,3301.8246721682863,15610.467334064477,
285.55,,,912.6815035565184
300.53333333333336,,19663.74869956286,
300.6,,,2438.81713384659
315.5833333333333,,20814.406871507035,
315.6166666666667,,,4342.518691286872
330.6,,20411.220405763914,
330.65,,,1318.7101535043826
345.6,,20985.04259941367,
345.68333333333334,,,3990.176217815532
360.6333333333333,,20957.693999174713,
360.73333333333335,,,3825.4425322689194
375.6666666666667,,20937.150464407492,
375.8,,,10129.030876088671
390.71666666666664,,20753.567405413854,
390.81666666666666,,,4489.431607966873
405.76666666666665,,20687.672527227456,
405.8833333333333,,,4372.716902593578
420.78333333333336,,20407.892310946034,
420.9,,,3176.74884710124
435.81666666666666,,19709.610656033376,
435.96666666666664,,,1507.80450757229
450.85,,20247.622856496702,
450.95,,,2073.7821051464043
465.9,,19869.559293967934,
466.0,,,2210.3881057059607
480.96666666666664,92008.77168106285,19704.59790743409,
495.98333333333335,7522.065072326818,15088.99478260094,
511.05,16784.564459469675,8572.98307830163,
526.0666666666667,39457.03759477538,5787.299743298133,
541.1333333333333,34875.20589047327,3245.593369323738,
556.1166666666667,51195.31510914397,2666.4955753863674,
571.1666666666666,26508.348924955895,2721.63952822851,
