Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\19.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	A 0,5 mM
Sample Number	30
Sample Position	RD2
Sample ID	19
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	15:20:12
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	439fa3d2-a304-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,98345
Signal Max.	323,038720
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	-0,018400	
0,001667	0,10	-0,018550	
0,003333	0,10	-0,019840	
0,005000	0,10	-0,020700	
0,006667	0,10	-0,022020	
0,008333	0,10	-0,022970	
0,010000	0,10	-0,023490	
0,011667	0,10	-0,023570	
0,013333	0,10	-0,023250	
0,015000	0,10	-0,023230	
0,016667	0,10	-0,023200	
0,018333	0,10	-0,023150	
0,020000	0,10	-0,023760	
0,021667	0,10	-0,024190	
0,023333	0,10	-0,023990	
0,025000	0,10	-0,024430	
0,026667	0,10	-0,024510	
0,028333	0,10	-0,024230	
0,030000	0,10	-0,024720	
0,031667	0,10	-0,025110	
0,033333	0,10	-0,024900	
0,035000	0,10	-0,025030	
0,036667	0,10	-0,025220	
0,038333	0,10	-0,025080	
0,040000	0,10	-0,025640	
0,041667	0,10	-0,025630	
0,043333	0,10	-0,025270	
0,045000	0,10	-0,024620	
0,046667	0,10	-0,024980	
0,048333	0,10	-0,024080	
0,050000	0,10	-0,023280	
0,051667	0,10	-0,022360	
0,053333	0,10	-0,023390	
0,055000	0,10	-0,024680	
0,056667	0,10	-0,025700	
0,058333	0,10	-0,025670	
0,060000	0,10	-0,025160	
0,061667	0,10	-0,025120	
0,063333	0,10	-0,026190	
0,065000	0,10	-0,026290	
0,066667	0,10	-0,026910	
0,068333	0,10	-0,026470	
0,070000	0,10	-0,025880	
0,071667	0,10	-0,025660	
