Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\23.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	A 2,5 mM
Sample Number	34
Sample Position	RD6
Sample ID	23
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	18:48:52
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	69586248-a321-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,78272
Signal Max.	1337,126440
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	0,066150	
0,001667	0,10	0,066200	
0,003333	0,10	0,066550	
0,005000	0,10	0,066320	
0,006667	0,10	0,066600	
0,008333	0,10	0,066640	
0,010000	0,10	0,066520	
0,011667	0,10	0,067130	
0,013333	0,10	0,066960	
0,015000	0,10	0,066780	
0,016667	0,10	0,067100	
0,018333	0,10	0,067460	
0,020000	0,10	0,067960	
0,021667	0,10	0,067920	
0,023333	0,10	0,067090	
0,025000	0,10	0,066560	
0,026667	0,10	0,065370	
0,028333	0,10	0,065280	
0,030000	0,10	0,066970	
0,031667	0,10	0,068040	
0,033333	0,10	0,067350	
0,035000	0,10	0,067850	
0,036667	0,10	0,067920	
0,038333	0,10	0,067260	
0,040000	0,10	0,066950	
0,041667	0,10	0,066300	
0,043333	0,10	0,066040	
0,045000	0,10	0,066530	
0,046667	0,10	0,067430	
0,048333	0,10	0,067160	
0,050000	0,10	0,067960	
0,051667	0,10	0,066730	
0,053333	0,10	0,066100	
0,055000	0,10	0,066540	
0,056667	0,10	0,066560	
0,058333	0,10	0,066550	
0,060000	0,10	0,066840	
0,061667	0,10	0,067490	
0,063333	0,10	0,067740	
0,065000	0,10	0,068010	
0,066667	0,10	0,067660	
0,068333	0,10	0,067550	
0,070000	0,10	0,068130	
0,071667	0,10	0,068360	
0,073333	0,10	0,068610	
0,075000	0,10	0,069480	
0,076667	0,10	0,070280	
0,078333	0,10	0,069920	
0,080000	0,10	0,069670	
0,081667	0,10	0,069600	
0,083333	0,10	0,069180	
0,085000	0,10	0,069470	
0,086667	0,10	0,070120	
0,088333	0,10	0,069940	
0,090000	0,10	0,069620	
0,091667	0,10	0,070060	
0,093333	0,10	0,070480	
0,095000	0,10	0,070770	
0,096667	0,10	0,071350	
0,098333	0,10	0,072270	
0,100000	0,10	0,072850	
0,101667	0,10	0,072540	
0,103333	0,10	0,072580	
0,105000	0,10	0,073550	
0,106667	0,10	0,073630	
0,108333	0,10	0,074150	
0,110000	0,10	0,073740	
0,111667	0,10	0,072920	
0,113333	0,10	0,072870	
0,115000	0,10	0,072360	
0,116667	0,10	0,071880	
0,118333	0,10	0,071840	
0,120000	0,10	0,072740	
0,121667	0,10	0,072600	
0,123333	0,10	0,072450	
0,125000	0,10	0,072180	
0,126667	0,10	0,072690	
0,128333	0,10	0,072400	
0,130000	0,10	0,072190	
0,131667	0,10	0,073260	
0,133333	0,10	0,072330	
0,135000	0,10	0,072270	
0,136667	0,10	0,071960	
