Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\9.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	25.2 0m
Sample Number	18
Sample Position	RB8
Sample ID	9
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	05:08:12
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	c526d868-a2ae-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,8783
Signal Max.	1122,767740
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	0,112170	
0,001667	0,10	0,112310	
0,003333	0,10	0,113670	
0,005000	0,10	0,115020	
0,006667	0,10	0,116570	
0,008333	0,10	0,118020	
0,010000	0,10	0,119430	
0,011667	0,10	0,120420	
0,013333	0,10	0,120930	
0,015000	0,10	0,121130	
0,016667	0,10	0,121430	
0,018333	0,10	0,121630	
0,020000	0,10	0,121660	
0,021667	0,10	0,121720	
0,023333	0,10	0,120830	
0,025000	0,10	0,120340	
0,026667	0,10	0,120920	
0,028333	0,10	0,121330	
0,030000	0,10	0,121550	
0,031667	0,10	0,121140	
0,033333	0,10	0,120510	
0,035000	0,10	0,121050	
0,036667	0,10	0,121030	
0,038333	0,10	0,121800	
0,040000	0,10	0,122050	
0,041667	0,10	0,122600	
0,043333	0,10	0,123280	
0,045000	0,10	0,123790	
0,046667	0,10	0,124510	
0,048333	0,10	0,124550	
0,050000	0,10	0,123470	
0,051667	0,10	0,123460	
0,053333	0,10	0,123510	
0,055000	0,10	0,123780	
0,056667	0,10	0,123750	
0,058333	0,10	0,124330	
0,060000	0,10	0,124500	
0,061667	0,10	0,124500	
0,063333	0,10	0,124690	
0,065000	0,10	0,125340	
0,066667	0,10	0,126170	
0,068333	0,10	0,126530	
0,070000	0,10	0,126350	
0,071667	0,10	0,126550	
0,073333	0,10	0,126400	
0,075000	0,10	0,126170	
0,076667	0,10	0,126240	
0,078333	0,10	0,126130	
0,080000	0,10	0,126060	
0,081667	0,10	0,125890	
0,083333	0,10	0,126140	
0,085000	0,10	0,125780	
0,086667	0,10	0,125800	
0,088333	0,10	0,126030	
0,090000	0,10	0,126080	
0,091667	0,10	0,126380	
0,093333	0,10	0,126340	
0,095000	0,10	0,126380	
0,096667	0,10	0,126210	
0,098333	0,10	0,125650	
0,100000	0,10	0,125910	
0,101667	0,10	0,126350	
0,103333	0,10	0,126390	
0,105000	0,10	0,125780	
0,106667	0,10	0,124950	
0,108333	0,10	0,125320	
0,110000	0,10	0,126260	
0,111667	0,10	0,125530	
0,113333	0,10	0,125260	
0,115000	0,10	0,125720	
0,116667	0,10	0,127080	
0,118333	0,10	0,126890	
0,120000	0,10	0,126510	
0,121667	0,10	0,126510	
0,123333	0,10	0,126550	
0,125000	0,10	0,126010	
0,126667	0,10	0,125750	
0,128333	0,10	0,125800	
0,130000	0,10	0,124940	
0,131667	0,10	0,124820	
0,133333	0,10	0,124240	
0,135000	0,10	0,124600	
0,136667	0,10	0,125760	
0,138333	0,10	0,126410	
0,140000	0,10	0,126730	
0,141667	0,10	0,126730	
0,143333	0,10	0,126570	
0,145000	0,10	0,126830	
0,146667	0,10	0,126890	
0,148333	0,10	0,126540	
0,150000	0,10	0,125010	
0,151667	0,10	0,125540	
0,153333	0,10	0,126750	
0,155000	0,10	0,126900	
0,156667	0,10	0,127440	
0,158333	0,10	0,127770	
0,160000	0,10	0,127820	
0,161667	0,10	0,127420	
0,163333	0,10	0,127550	
0,165000	0,10	0,126750	
0,166667	0,10	0,127350	
0,168333	0,10	0,126520	
0,170000	0,10	0,126720	
0,171667	0,10	0,127130	
0,173333	0,10	0,128060	
0,175000	0,10	0,128520	
0,176667	0,10	0,127990	
0,178333	0,10	0,127430	
0,180000	0,10	0,126590	
0,181667	0,10	0,125350	
0,183333	0,10	0,124670	
0,185000	0,10	0,125040	
0,186667	0,10	0,125810	
0,188333	0,10	0,126610	
0,190000	0,10	0,127030	
0,191667	0,10	0,127310	
0,193333	0,10	0,127150	
0,195000	0,10	0,127830	
0,196667	0,10	0,128300	
0,198333	0,10	0,128740	
0,200000	0,10	0,128650	
0,201667	0,10	0,127980	
0,203333	0,10	0,127390	
0,205000	0,10	0,127910	
0,206667	0,10	0,127850	
0,208333	0,10	0,127330	
0,210000	0,10	0,126890	
0,211667	0,10	0,126050	
0,213333	0,10	0,126210	
0,215000	0,10	0,126560	
0,216667	0,10	0,125750	
0,218333	0,10	0,124580	
0,220000	0,10	0,123270	
0,221667	0,10	0,123490	
0,223333	0,10	0,123630	
0,225000	0,10	0,124110	
0,226667	0,10	0,123840	
0,228333	0,10	0,124170	
0,230000	0,10	0,123820	
0,231667	0,10	0,123600	
0,233333	0,10	0,123730	
0,235000	0,10	0,124820	
0,236667	0,10	0,125560	
0,238333	0,10	0,126210	
0,240000	0,10	0,125930	
0,241667	0,10	0,126770	
0,243333	0,10	0,127070	
0,245000	0,10	0,126820	
0,246667	0,10	0,125890	
0,248333	0,10	0,125670	
0,250000	0,10	0,126040	
0,251667	0,10	0,126610	
0,253333	0,10	0,126350	
0,255000	0,10	0,126410	
0,256667	0,10	0,126440	
0,258333	0,10	0,126220	
0,260000	0,10	0,126320	
0,261667	0,10	0,126350	
0,263333	0,10	0,126690	
0,265000	0,10	0,127570	
0,266667	0,10	0,127280	
0,268333	0,10	0,128500	
0,270000	0,10	0,129530	
0,271667	0,10	0,129950	
0,273333	0,10	0,129880	
0,275000	0,10	0,130090	
0,276667	0,10	0,129290	
0,278333	0,10	0,128910	
0,280000	0,10	0,127970	
0,281667	0,10	0,128740	
0,283333	0,10	0,128760	
0,285000	0,10	0,128910	
0,286667	0,10	0,129320	
0,288333	0,10	0,128920	
0,290000	0,10	0,128530	
0,291667	0,10	0,128410	
0,293333	0,10	0,128270	
0,295000	0,10	0,128130	
0,296667	0,10	0,128620	
0,298333	0,10	0,129020	
0,300000	0,10	0,129470	
0,301667	0,10	0,130690	
0,303333	0,10	0,130290	
0,305000	0,10	0,129740	
0,306667	0,10	0,128800	
0,308333	0,10	0,129050	
0,310000	0,10	0,129450	
0,311667	0,10	0,128730	
0,313333	0,10	0,127900	
0,315000	0,10	0,128660	
0,316667	0,10	0,128630	
0,318333	0,10	0,128940	
