Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\24.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	A 3,0 mM
Sample Number	35
Sample Position	RD7
Sample ID	24
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	19:41:02
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	b2f41ffc-a328-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,77475
Signal Max.	1647,585660
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	0,085560	
0,001667	0,10	0,085490	
0,003333	0,10	0,085090	
0,005000	0,10	0,085740	
0,006667	0,10	0,086330	
0,008333	0,10	0,086080	
0,010000	0,10	0,085500	
0,011667	0,10	0,085910	
0,013333	0,10	0,085520	
0,015000	0,10	0,084380	
0,016667	0,10	0,083370	
0,018333	0,10	0,084000	
0,020000	0,10	0,085420	
0,021667	0,10	0,085740	
0,023333	0,10	0,085240	
0,025000	0,10	0,084600	
0,026667	0,10	0,084860	
0,028333	0,10	0,085000	
0,030000	0,10	0,085110	
0,031667	0,10	0,085600	
0,033333	0,10	0,085860	
0,035000	0,10	0,085000	
0,036667	0,10	0,085380	
0,038333	0,10	0,085880	
0,040000	0,10	0,085800	
0,041667	0,10	0,085830	
0,043333	0,10	0,086550	
0,045000	0,10	0,085580	
0,046667	0,10	0,086120	
0,048333	0,10	0,086230	
0,050000	0,10	0,085560	
0,051667	0,10	0,085100	
0,053333	0,10	0,086300	
0,055000	0,10	0,086200	
0,056667	0,10	0,086790	
0,058333	0,10	0,087860	
0,060000	0,10	0,087440	
0,061667	0,10	0,087210	
0,063333	0,10	0,087490	
0,065000	0,10	0,087900	
0,066667	0,10	0,088380	
0,068333	0,10	0,087890	
0,070000	0,10	0,087780	
0,071667	0,10	0,087130	
0,073333	0,10	0,086390	
0,075000	0,10	0,086580	
0,076667	0,10	0,086140	
0,078333	0,10	0,085400	
0,080000	0,10	0,084490	
0,081667	0,10	0,083900	
0,083333	0,10	0,083730	
0,085000	0,10	0,083900	
0,086667	0,10	0,083640	
0,088333	0,10	0,084680	
0,090000	0,10	0,084980	
0,091667	0,10	0,084580	
0,093333	0,10	0,083620	
0,095000	0,10	0,084140	
0,096667	0,10	0,084550	
0,098333	0,10	0,084350	
0,100000	0,10	0,083630	
0,101667	0,10	0,083900	
0,103333	0,10	0,084250	
0,105000	0,10	0,084150	
0,106667	0,10	0,084730	
0,108333	0,10	0,083830	
0,110000	0,10	0,083550	
0,111667	0,10	0,083680	
0,113333	0,10	0,084350	
0,115000	0,10	0,085060	
0,116667	0,10	0,085480	
0,118333	0,10	0,085580	
0,120000	0,10	0,085420	
0,121667	0,10	0,085820	
0,123333	0,10	0,085120	
0,125000	0,10	0,085320	
0,126667	0,10	0,086000	
0,128333	0,10	0,086150	
0,130000	0,10	0,086460	
0,131667	0,10	0,086570	
0,133333	0,10	0,086200	
0,135000	0,10	0,085530	
0,136667	0,10	0,086000	
0,138333	0,10	0,086060	
0,140000	0,10	0,085360	
0,141667	0,10	0,084910	
0,143333	0,10	0,085260	
0,145000	0,10	0,085030	
0,146667	0,10	0,085630	
0,148333	0,10	0,086330	
0,150000	0,10	0,087970	
0,151667	0,10	0,088570	
0,153333	0,10	0,088890	
0,155000	0,10	0,087740	
0,156667	0,10	0,087990	
0,158333	0,10	0,088710	
0,160000	0,10	0,089550	
0,161667	0,10	0,089310	
0,163333	0,10	0,089110	
0,165000	0,10	0,089080	
0,166667	0,10	0,087810	
0,168333	0,10	0,087240	
0,170000	0,10	0,087490	
0,171667	0,10	0,087270	
0,173333	0,10	0,086350	
0,175000	0,10	0,086040	
0,176667	0,10	0,085910	
0,178333	0,10	0,085160	
0,180000	0,10	0,085730	
0,181667	0,10	0,085640	
0,183333	0,10	0,086440	
0,185000	0,10	0,086920	
0,186667	0,10	0,086730	
0,188333	0,10	0,086250	
0,190000	0,10	0,085410	
0,191667	0,10	0,085750	
0,193333	0,10	0,086730	
0,195000	0,10	0,086740	
0,196667	0,10	0,086270	
0,198333	0,10	0,086520	
0,200000	0,10	0,086850	
0,201667	0,10	0,086500	
0,203333	0,10	0,086930	
0,205000	0,10	0,086270	
0,206667	0,10	0,086470	
0,208333	0,10	0,086360	
0,210000	0,10	0,085940	
0,211667	0,10	0,086230	
0,213333	0,10	0,087080	
0,215000	0,10	0,087990	
0,216667	0,10	0,087870	
0,218333	0,10	0,088010	
0,220000	0,10	0,088340	
0,221667	0,10	0,087360	
0,223333	0,10	0,086680	
0,225000	0,10	0,086610	
0,226667	0,10	0,087080	
0,228333	0,10	0,086940	
0,230000	0,10	0,087120	
0,231667	0,10	0,086970	
0,233333	0,10	0,087150	
0,235000	0,10	0,087400	
0,236667	0,10	0,087360	
0,238333	0,10	0,086710	
0,240000	0,10	0,087310	
0,241667	0,10	0,087590	
0,243333	0,10	0,088150	
0,245000	0,10	0,088060	
0,246667	0,10	0,087720	
0,248333	0,10	0,088030	
0,250000	0,10	0,087460	
0,251667	0,10	0,087660	
0,253333	0,10	0,088310	
0,255000	0,10	0,088230	
0,256667	0,10	0,088230	
0,258333	0,10	0,088750	
0,260000	0,10	0,088500	
0,261667	0,10	0,088110	
0,263333	0,10	0,088340	
0,265000	0,10	0,089900	
0,266667	0,10	0,089860	
0,268333	0,10	0,090800	
0,270000	0,10	0,091390	
0,271667	0,10	0,091570	
0,273333	0,10	0,091180	
0,275000	0,10	0,090920	
0,276667	0,10	0,090270	
0,278333	0,10	0,090910	
0,280000	0,10	0,089770	
0,281667	0,10	0,088820	
0,283333	0,10	0,090680	
0,285000	0,10	0,090680	
0,286667	0,10	0,091200	
0,288333	0,10	0,089890	
0,290000	0,10	0,089160	
0,291667	0,10	0,089720	
0,293333	0,10	0,090050	
0,295000	0,10	0,089900	
0,296667	0,10	0,088890	
0,298333	0,10	0,089150	
0,300000	0,10	0,089150	
0,301667	0,10	0,089050	
0,303333	0,10	0,089640	
0,305000	0,10	0,091010	
0,306667	0,10	0,091890	
0,308333	0,10	0,091840	
0,310000	0,10	0,091820	
0,311667	0,10	0,091260	
0,313333	0,10	0,091170	
0,315000	0,10	0,091130	
