Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\14055.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	25.2 24h
Sample Number	19
Sample Position	RC1
Sample ID	14055
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	06:00:21
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	0db521e1-a2b6-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,8821
Signal Max.	729,940170
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	0,118690	
0,001667	0,10	0,118570	
0,003333	0,10	0,117650	
0,005000	0,10	0,117660	
0,006667	0,10	0,117330	
0,008333	0,10	0,116680	
0,010000	0,10	0,115640	
0,011667	0,10	0,114850	
0,013333	0,10	0,114490	
0,015000	0,10	0,115090	
0,016667	0,10	0,114960	
0,018333	0,10	0,114590	
0,020000	0,10	0,114140	
0,021667	0,10	0,115450	
0,023333	0,10	0,115260	
0,025000	0,10	0,115390	
0,026667	0,10	0,114090	
0,028333	0,10	0,114620	
0,030000	0,10	0,114770	
0,031667	0,10	0,114150	
0,033333	0,10	0,114400	
0,035000	0,10	0,114850	
0,036667	0,10	0,114980	
0,038333	0,10	0,113710	
0,040000	0,10	0,114350	
0,041667	0,10	0,115180	
0,043333	0,10	0,115790	
0,045000	0,10	0,116090	
0,046667	0,10	0,116450	
0,048333	0,10	0,115300	
0,050000	0,10	0,114820	
0,051667	0,10	0,115330	
0,053333	0,10	0,115260	
0,055000	0,10	0,115300	
0,056667	0,10	0,114830	
0,058333	0,10	0,114050	
0,060000	0,10	0,113910	
0,061667	0,10	0,114590	
0,063333	0,10	0,115100	
0,065000	0,10	0,114620	
0,066667	0,10	0,114310	
0,068333	0,10	0,113800	
0,070000	0,10	0,113520	
0,071667	0,10	0,112830	
0,073333	0,10	0,112260	
0,075000	0,10	0,112650	
0,076667	0,10	0,112520	
0,078333	0,10	0,112160	
0,080000	0,10	0,112410	
0,081667	0,10	0,111860	
0,083333	0,10	0,111990	
0,085000	0,10	0,112410	
0,086667	0,10	0,112490	
0,088333	0,10	0,112960	
0,090000	0,10	0,111860	
0,091667	0,10	0,111110	
0,093333	0,10	0,110430	
0,095000	0,10	0,110230	
0,096667	0,10	0,111270	
0,098333	0,10	0,112250	
0,100000	0,10	0,112730	
0,101667	0,10	0,112640	
0,103333	0,10	0,113650	
0,105000	0,10	0,113750	
0,106667	0,10	0,114720	
0,108333	0,10	0,114640	
0,110000	0,10	0,114000	
0,111667	0,10	0,113290	
0,113333	0,10	0,113000	
0,115000	0,10	0,113530	
0,116667	0,10	0,114190	
0,118333	0,10	0,114140	
0,120000	0,10	0,114100	
0,121667	0,10	0,113810	
0,123333	0,10	0,113580	
0,125000	0,10	0,114710	
0,126667	0,10	0,115130	
0,128333	0,10	0,115970	
0,130000	0,10	0,117060	
0,131667	0,10	0,116850	
0,133333	0,10	0,116110	
0,135000	0,10	0,116300	
0,136667	0,10	0,116460	
0,138333	0,10	0,116180	
0,140000	0,10	0,115680	
0,141667	0,10	0,115430	
0,143333	0,10	0,116050	
0,145000	0,10	0,117580	
0,146667	0,10	0,118420	
0,148333	0,10	0,118480	
0,150000	0,10	0,118250	
0,151667	0,10	0,117460	
0,153333	0,10	0,116760	
0,155000	0,10	0,115780	
0,156667	0,10	0,115670	
0,158333	0,10	0,115280	
0,160000	0,10	0,114750	
0,161667	0,10	0,114320	
0,163333	0,10	0,114220	
0,165000	0,10	0,114090	
0,166667	0,10	0,113400	
0,168333	0,10	0,114320	
0,170000	0,10	0,115210	
0,171667	0,10	0,115610	
0,173333	0,10	0,115520	
0,175000	0,10	0,115580	
0,176667	0,10	0,115620	
0,178333	0,10	0,115970	
0,180000	0,10	0,116770	
0,181667	0,10	0,116730	
0,183333	0,10	0,117410	
0,185000	0,10	0,118010	
0,186667	0,10	0,118480	
0,188333	0,10	0,119540	
0,190000	0,10	0,120010	
0,191667	0,10	0,119520	
0,193333	0,10	0,120060	
0,195000	0,10	0,119640	
0,196667	0,10	0,119260	
0,198333	0,10	0,118670	
0,200000	0,10	0,118320	
0,201667	0,10	0,118420	
0,203333	0,10	0,117780	
0,205000	0,10	0,116670	
0,206667	0,10	0,116090	
0,208333	0,10	0,116730	
0,210000	0,10	0,116380	
0,211667	0,10	0,116150	
0,213333	0,10	0,116440	
0,215000	0,10	0,116760	
0,216667	0,10	0,117000	
0,218333	0,10	0,117570	
0,220000	0,10	0,118290	
0,221667	0,10	0,118650	
0,223333	0,10	0,119150	
0,225000	0,10	0,118270	
0,226667	0,10	0,117630	
0,228333	0,10	0,118590	
0,230000	0,10	0,118180	
0,231667	0,10	0,118140	
0,233333	0,10	0,117920	
0,235000	0,10	0,118340	
0,236667	0,10	0,119800	
0,238333	0,10	0,120220	
0,240000	0,10	0,121240	
0,241667	0,10	0,122210	
0,243333	0,10	0,122480	
0,245000	0,10	0,122710	
0,246667	0,10	0,121980	
0,248333	0,10	0,121080	
0,250000	0,10	0,120860	
0,251667	0,10	0,120370	
0,253333	0,10	0,119600	
0,255000	0,10	0,120280	
0,256667	0,10	0,120830	
0,258333	0,10	0,121720	
0,260000	0,10	0,121930	
0,261667	0,10	0,121370	
0,263333	0,10	0,121960	
0,265000	0,10	0,121950	
0,266667	0,10	0,122060	
0,268333	0,10	0,123270	
0,270000	0,10	0,122600	
0,271667	0,10	0,122580	
0,273333	0,10	0,121470	
0,275000	0,10	0,121260	
0,276667	0,10	0,121910	
0,278333	0,10	0,121340	
0,280000	0,10	0,120440	
0,281667	0,10	0,119460	
0,283333	0,10	0,119060	
0,285000	0,10	0,119070	
0,286667	0,10	0,119980	
0,288333	0,10	0,120450	
0,290000	0,10	0,121340	
0,291667	0,10	0,121750	
0,293333	0,10	0,120930	
0,295000	0,10	0,121830	
0,296667	0,10	0,122480	
0,298333	0,10	0,123010	
0,300000	0,10	0,122570	
0,301667	0,10	0,123100	
0,303333	0,10	0,122290	
0,305000	0,10	0,121280	
0,306667	0,10	0,121250	
0,308333	0,10	0,120700	
0,310000	0,10	0,120220	
0,311667	0,10	0,120490	
0,313333	0,10	0,120870	
0,315000	0,10	0,120980	
0,316667	0,10	0,120460	
0,318333	0,10	0,120320	
0,320000	0,10	0,120530	
0,321667	0,10	0,120510	
0,323333	0,10	0,120820	
0,325000	0,10	0,121650	
0,326667	0,10	0,122740	
0,328333	0,10	0,122460	
0,330000	0,10	0,122180	
0,331667	0,10	0,122380	
0,333333	0,10	0,122390	
0,335000	0,10	0,122140	
0,336667	0,10	0,122150	
0,338333	0,10	0,121860	
0,340000	0,10	0,121670	
0,341667	0,10	0,121140	
0,343333	0,10	0,121720	
0,345000	0,10	0,122040	
0,346667	0,10	0,122170	
0,348333	0,10	0,122030	
0,350000	0,10	0,121990	
0,351667	0,10	0,122490	
0,353333	0,10	0,123250	
0,355000	0,10	0,124220	
0,356667	0,10	0,124040	
0,358333	0,10	0,123590	
0,360000	0,10	0,123490	
0,361667	0,10	0,122960	
0,363333	0,10	0,122660	
0,365000	0,10	0,122600	
0,366667	0,10	0,121970	
0,368333	0,10	0,122630	
0,370000	0,10	0,123460	
0,371667	0,10	0,123640	
0,373333	0,10	0,124000	
0,375000	0,10	0,123710	
0,376667	0,10	0,123670	
0,378333	0,10	0,123340	
0,380000	0,10	0,123310	
0,381667	0,10	0,123650	
0,383333	0,10	0,124140	
0,385000	0,10	0,123770	
0,386667	0,10	0,122830	
0,388333	0,10	0,122930	
0,390000	0,10	0,124010	
0,391667	0,10	0,124530	
0,393333	0,10	0,125010	
0,395000	0,10	0,124640	
0,396667	0,10	0,124210	
0,398333	0,10	0,124410	
0,400000	0,10	0,124990	
0,401667	0,10	0,126340	
0,403333	0,10	0,126250	
0,405000	0,10	0,126190	
0,406667	0,10	0,125650	
0,408333	0,10	0,124920	
0,410000	0,10	0,124980	
0,411667	0,10	0,125380	
0,413333	0,10	0,125690	
0,415000	0,10	0,125520	
0,416667	0,10	0,126440	
0,418333	0,10	0,126920	
0,420000	0,10	0,126590	
0,421667	0,10	0,127160	
0,423333	0,10	0,127290	
0,425000	0,10	0,126850	
0,426667	0,10	0,126590	
0,428333	0,10	0,126470	
0,430000	0,10	0,124830	
0,431667	0,10	0,124720	
0,433333	0,10	0,124810	
0,435000	0,10	0,126080	
0,436667	0,10	0,126360	
0,438333	0,10	0,127250	
0,440000	0,10	0,127400	
0,441667	0,10	0,126440	
0,443333	0,10	0,126030	
0,445000	0,10	0,126800	
0,446667	0,10	0,127160	
0,448333	0,10	0,126370	
0,450000	0,10	0,125260	
0,451667	0,10	0,125420	
0,453333	0,10	0,125800	
0,455000	0,10	0,125650	
0,456667	0,10	0,125410	
0,458333	0,10	0,125720	
0,460000	0,10	0,125890	
0,461667	0,10	0,125270	
0,463333	0,10	0,123900	
0,465000	0,10	0,123420	
0,466667	0,10	0,124050	
0,468333	0,10	0,124420	
0,470000	0,10	0,125050	
0,471667	0,10	0,125840	
0,473333	0,10	0,126150	
0,475000	0,10	0,126410	
0,476667	0,10	0,126610	
0,478333	0,10	0,126980	
0,480000	0,10	0,127550	
0,481667	0,10	0,127950	
0,483333	0,10	0,127540	
0,485000	0,10	0,127460	
0,486667	0,10	0,127370	
0,488333	0,10	0,127280	
0,490000	0,10	0,126410	
0,491667	0,10	0,125910	
0,493333	0,10	0,125990	
0,495000	0,10	0,126780	
0,496667	0,10	0,128150	
0,498333	0,10	0,128490	
0,500000	0,10	0,128340	
0,501667	0,10	0,129070	
0,503333	0,10	0,129690	
0,505000	0,10	0,128950	
0,506667	0,10	0,127520	
0,508333	0,10	0,127010	
0,510000	0,10	0,127460	
0,511667	0,10	0,127520	
0,513333	0,10	0,128110	
0,515000	0,10	0,128170	
0,516667	0,10	0,129340	
0,518333	0,10	0,130180	
0,520000	0,10	0,130490	
0,521667	0,10	0,130630	
0,523333	0,10	0,132080	
0,525000	0,10	0,132880	
0,526667	0,10	0,133260	
0,528333	0,10	0,132850	
0,530000	0,10	0,131830	
0,531667	0,10	0,131040	
0,533333	0,10	0,130430	
0,535000	0,10	0,129470	
0,536667	0,10	0,128420	
0,538333	0,10	0,128990	
0,540000	0,10	0,130000	
0,541667	0,10	0,130300	
0,543333	0,10	0,130590	
0,545000	0,10	0,130710	
0,546667	0,10	0,130330	
0,548333	0,10	0,129970	
0,550000	0,10	0,129310	
0,551667	0,10	0,128310	
0,553333	0,10	0,128300	
0,555000	0,10	0,128150	
0,556667	0,10	0,128260	
0,558333	0,10	0,128430	
0,560000	0,10	0,127290	
0,561667	0,10	0,126680	
0,563333	0,10	0,126710	
0,565000	0,10	0,127210	
0,566667	0,10	0,128440	
0,568333	0,10	0,128860	
0,570000	0,10	0,128750	
0,571667	0,10	0,128450	
0,573333	0,10	0,128610	
0,575000	0,10	0,128370	
0,576667	0,10	0,128960	
0,578333	0,10	0,129430	
0,580000	0,10	0,129990	
0,581667	0,10	0,129790	
0,583333	0,10	0,129620	
0,585000	0,10	0,130240	
0,586667	0,10	0,129080	
0,588333	0,10	0,128910	
0,590000	0,10	0,128790	
0,591667	0,10	0,128990	
0,593333	0,10	0,129570	
0,595000	0,10	0,130140	
0,596667	0,10	0,131230	
0,598333	0,10	0,131230	
0,600000	0,10	0,130210	
0,601667	0,10	0,129480	
0,603333	0,10	0,128970	
0,605000	0,10	0,129110	
0,606667	0,10	0,129750	
0,608333	0,10	0,130150	
0,610000	0,10	0,129710	
0,611667	0,10	0,128560	
0,613333	0,10	0,128910	
0,615000	0,10	0,128860	
0,616667	0,10	0,128260	
0,618333	0,10	0,128300	
0,620000	0,10	0,128750	
0,621667	0,10	0,129450	
0,623333	0,10	0,130780	
0,625000	0,10	0,131490	
0,626667	0,10	0,131100	
0,628333	0,10	0,130220	
