Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\20.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	A 1,0 mM
Sample Number	31
Sample Position	RD3
Sample ID	20
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	16:12:23
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	8ce9b975-a30b-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,8254
Signal Max.	576,766300
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	0,125090	
0,001667	0,10	0,125010	
0,003333	0,10	0,124540	
0,005000	0,10	0,124710	
0,006667	0,10	0,123320	
0,008333	0,10	0,123160	
0,010000	0,10	0,124340	
0,011667	0,10	0,126170	
0,013333	0,10	0,126310	
0,015000	0,10	0,126600	
0,016667	0,10	0,127200	
0,018333	0,10	0,127500	
0,020000	0,10	0,126940	
0,021667	0,10	0,126140	
0,023333	0,10	0,126400	
0,025000	0,10	0,125740	
0,026667	0,10	0,125020	
0,028333	0,10	0,125100	
0,030000	0,10	0,124570	
0,031667	0,10	0,124310	
0,033333	0,10	0,125120	
0,035000	0,10	0,126580	
0,036667	0,10	0,125940	
0,038333	0,10	0,126180	
0,040000	0,10	0,126300	
0,041667	0,10	0,127500	
0,043333	0,10	0,127930	
0,045000	0,10	0,128100	
0,046667	0,10	0,127910	
0,048333	0,10	0,127510	
0,050000	0,10	0,127170	
0,051667	0,10	0,128220	
0,053333	0,10	0,128530	
0,055000	0,10	0,128980	
0,056667	0,10	0,129680	
0,058333	0,10	0,128770	
0,060000	0,10	0,128870	
0,061667	0,10	0,128460	
0,063333	0,10	0,128620	
0,065000	0,10	0,128400	
0,066667	0,10	0,128030	
0,068333	0,10	0,127810	
0,070000	0,10	0,128180	
0,071667	0,10	0,128070	
0,073333	0,10	0,127790	
0,075000	0,10	0,127480	
0,076667	0,10	0,127630	
0,078333	0,10	0,127090	
0,080000	0,10	0,126860	
0,081667	0,10	0,126660	
0,083333	0,10	0,126790	
0,085000	0,10	0,126600	
0,086667	0,10	0,127250	
0,088333	0,10	0,126840	
0,090000	0,10	0,126550	
0,091667	0,10	0,126630	
0,093333	0,10	0,126720	
0,095000	0,10	0,127360	
0,096667	0,10	0,126650	
0,098333	0,10	0,126020	
0,100000	0,10	0,125820	
0,101667	0,10	0,125590	
0,103333	0,10	0,124930	
0,105000	0,10	0,124260	
0,106667	0,10	0,124220	
0,108333	0,10	0,123720	
0,110000	0,10	0,123620	
0,111667	0,10	0,123150	
0,113333	0,10	0,122850	
0,115000	0,10	0,123350	
0,116667	0,10	0,123890	
0,118333	0,10	0,124560	
0,120000	0,10	0,124920	
0,121667	0,10	0,125000	
0,123333	0,10	0,124360	
0,125000	0,10	0,124020	
0,126667	0,10	0,124610	
0,128333	0,10	0,125700	
0,130000	0,10	0,125570	
0,131667	0,10	0,126150	
0,133333	0,10	0,126420	
0,135000	0,10	0,126090	
0,136667	0,10	0,125280	
0,138333	0,10	0,125320	
0,140000	0,10	0,125860	
0,141667	0,10	0,126360	
0,143333	0,10	0,126660	
0,145000	0,10	0,126410	
0,146667	0,10	0,125200	
0,148333	0,10	0,126540	
0,150000	0,10	0,126990	
0,151667	0,10	0,126730	
0,153333	0,10	0,125960	
0,155000	0,10	0,125760	
0,156667	0,10	0,125600	
0,158333	0,10	0,125950	
0,160000	0,10	0,126980	
0,161667	0,10	0,126610	
0,163333	0,10	0,126410	
0,165000	0,10	0,126800	
0,166667	0,10	0,126480	
0,168333	0,10	0,125990	
0,170000	0,10	0,124830	
0,171667	0,10	0,124410	
0,173333	0,10	0,124810	
0,175000	0,10	0,124680	
0,176667	0,10	0,125030	
0,178333	0,10	0,125890	
0,180000	0,10	0,125510	
0,181667	0,10	0,126040	
0,183333	0,10	0,126380	
0,185000	0,10	0,126870	
0,186667	0,10	0,127320	
0,188333	0,10	0,127610	
0,190000	0,10	0,126740	
0,191667	0,10	0,126580	
0,193333	0,10	0,126620	
0,195000	0,10	0,126880	
0,196667	0,10	0,126570	
0,198333	0,10	0,126730	
0,200000	0,10	0,125420	
0,201667	0,10	0,125380	
0,203333	0,10	0,125220	
0,205000	0,10	0,125200	
0,206667	0,10	0,124040	
0,208333	0,10	0,124260	
0,210000	0,10	0,124970	
0,211667	0,10	0,124620	
0,213333	0,10	0,123720	
0,215000	0,10	0,123100	
0,216667	0,10	0,123490	
0,218333	0,10	0,124440	
0,220000	0,10	0,124640	
0,221667	0,10	0,124780	
0,223333	0,10	0,125820	
0,225000	0,10	0,125810	
0,226667	0,10	0,126020	
0,228333	0,10	0,127030	
0,230000	0,10	0,126930	
0,231667	0,10	0,126630	
