Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\21.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	A 1,5 mM
Sample Number	32
Sample Position	RD4
Sample ID	21
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	17:04:32
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	d6e74f56-a312-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,88614
Signal Max.	816,858800
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	0,060980	
0,001667	0,10	0,060980	
0,003333	0,10	0,061040	
0,005000	0,10	0,061050	
0,006667	0,10	0,061070	
0,008333	0,10	0,061610	
0,010000	0,10	0,062640	
0,011667	0,10	0,062900	
0,013333	0,10	0,062710	
0,015000	0,10	0,062970	
0,016667	0,10	0,063680	
0,018333	0,10	0,063640	
0,020000	0,10	0,064080	
0,021667	0,10	0,063730	
0,023333	0,10	0,064010	
0,025000	0,10	0,064120	
0,026667	0,10	0,064960	
0,028333	0,10	0,065510	
0,030000	0,10	0,065460	
0,031667	0,10	0,065740	
0,033333	0,10	0,066220	
0,035000	0,10	0,065290	
0,036667	0,10	0,065240	
0,038333	0,10	0,065780	
0,040000	0,10	0,065230	
0,041667	0,10	0,065800	
0,043333	0,10	0,065830	
0,045000	0,10	0,065890	
0,046667	0,10	0,066410	
0,048333	0,10	0,066200	
0,050000	0,10	0,066250	
0,051667	0,10	0,066540	
0,053333	0,10	0,066830	
0,055000	0,10	0,066200	
0,056667	0,10	0,065240	
0,058333	0,10	0,065940	
0,060000	0,10	0,066110	
0,061667	0,10	0,065480	
0,063333	0,10	0,065230	
0,065000	0,10	0,064920	
0,066667	0,10	0,065560	
0,068333	0,10	0,065680	
0,070000	0,10	0,066140	
0,071667	0,10	0,066110	
0,073333	0,10	0,066850	
0,075000	0,10	0,066940	
0,076667	0,10	0,067730	
0,078333	0,10	0,067950	
0,080000	0,10	0,067510	
0,081667	0,10	0,067320	
0,083333	0,10	0,068120	
0,085000	0,10	0,067690	
0,086667	0,10	0,067130	
0,088333	0,10	0,067350	
0,090000	0,10	0,067540	
0,091667	0,10	0,066800	
0,093333	0,10	0,066590	
0,095000	0,10	0,066470	
0,096667	0,10	0,065940	
0,098333	0,10	0,065630	
0,100000	0,10	0,066860	
0,101667	0,10	0,066420	
0,103333	0,10	0,064960	
0,105000	0,10	0,065640	
0,106667	0,10	0,066770	
0,108333	0,10	0,066500	
0,110000	0,10	0,065560	
0,111667	0,10	0,065410	
0,113333	0,10	0,065930	
0,115000	0,10	0,066280	
0,116667	0,10	0,066190	
0,118333	0,10	0,067140	
0,120000	0,10	0,067860	
0,121667	0,10	0,067940	
0,123333	0,10	0,068330	
0,125000	0,10	0,068400	
0,126667	0,10	0,067510	
0,128333	0,10	0,067090	
0,130000	0,10	0,067130	
0,131667	0,10	0,067790	
0,133333	0,10	0,066900	
0,135000	0,10	0,066760	
0,136667	0,10	0,067430	
0,138333	0,10	0,067500	
0,140000	0,10	0,067900	
0,141667	0,10	0,069490	
0,143333	0,10	0,069420	
0,145000	0,10	0,069430	
0,146667	0,10	0,069390	
0,148333	0,10	0,069400	
0,150000	0,10	0,070150	
0,151667	0,10	0,070780	
0,153333	0,10	0,071310	
0,155000	0,10	0,070860	
0,156667	0,10	0,070890	
0,158333	0,10	0,071810	
