Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\8.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	25.1 0m
Sample Number	16
Sample Position	RB6
Sample ID	8
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	03:23:54
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	31b2b65e-a2a0-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-3,05734
Signal Max.	1209,407690
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	-0,023210	
0,001667	0,10	-0,023230	
0,003333	0,10	-0,023780	
0,005000	0,10	-0,025810	
0,006667	0,10	-0,027540	
0,008333	0,10	-0,027920	
0,010000	0,10	-0,027230	
0,011667	0,10	-0,027900	
0,013333	0,10	-0,029390	
0,015000	0,10	-0,029600	
0,016667	0,10	-0,030070	
0,018333	0,10	-0,029990	
0,020000	0,10	-0,029610	
0,021667	0,10	-0,029630	
0,023333	0,10	-0,029360	
0,025000	0,10	-0,029950	
0,026667	0,10	-0,031240	
0,028333	0,10	-0,031160	
0,030000	0,10	-0,031450	
0,031667	0,10	-0,031000	
0,033333	0,10	-0,030450	
0,035000	0,10	-0,029890	
0,036667	0,10	-0,030080	
0,038333	0,10	-0,029930	
0,040000	0,10	-0,030210	
0,041667	0,10	-0,030080	
0,043333	0,10	-0,030390	
0,045000	0,10	-0,029640	
0,046667	0,10	-0,028720	
0,048333	0,10	-0,028850	
0,050000	0,10	-0,027550	
0,051667	0,10	-0,026710	
0,053333	0,10	-0,026510	
0,055000	0,10	-0,026940	
0,056667	0,10	-0,027440	
0,058333	0,10	-0,028210	
0,060000	0,10	-0,027800	
0,061667	0,10	-0,028600	
0,063333	0,10	-0,028410	
0,065000	0,10	-0,028400	
0,066667	0,10	-0,028150	
0,068333	0,10	-0,028370	
0,070000	0,10	-0,028520	
0,071667	0,10	-0,029340	
0,073333	0,10	-0,028810	
0,075000	0,10	-0,029780	
0,076667	0,10	-0,031820	
0,078333	0,10	-0,033540	
0,080000	0,10	-0,032750	
0,081667	0,10	-0,031840	
0,083333	0,10	-0,031060	
0,085000	0,10	-0,030780	
0,086667	0,10	-0,029970	
0,088333	0,10	-0,029790	
0,090000	0,10	-0,030160	
0,091667	0,10	-0,029610	
0,093333	0,10	-0,029370	
0,095000	0,10	-0,030460	
0,096667	0,10	-0,031250	
0,098333	0,10	-0,031910	
0,100000	0,10	-0,031880	
0,101667	0,10	-0,031400	
0,103333	0,10	-0,030520	
0,105000	0,10	-0,030650	
0,106667	0,10	-0,030640	
0,108333	0,10	-0,031280	
0,110000	0,10	-0,031020	
0,111667	0,10	-0,029760	
0,113333	0,10	-0,029480	
0,115000	0,10	-0,029370	
0,116667	0,10	-0,028500	
0,118333	0,10	-0,027780	
0,120000	0,10	-0,027940	
0,121667	0,10	-0,029120	
0,123333	0,10	-0,029560	
0,125000	0,10	-0,028990	
0,126667	0,10	-0,029210	
0,128333	0,10	-0,029260	
0,130000	0,10	-0,030780	
0,131667	0,10	-0,031260	
0,133333	0,10	-0,031920	
0,135000	0,10	-0,031690	
0,136667	0,10	-0,031030	
0,138333	0,10	-0,030500	
0,140000	0,10	-0,030400	
0,141667	0,10	-0,030940	
0,143333	0,10	-0,030800	
0,145000	0,10	-0,030040	
0,146667	0,10	-0,029470	
0,148333	0,10	-0,029500	
0,150000	0,10	-0,029840	
0,151667	0,10	-0,030470	
0,153333	0,10	-0,029830	
0,155000	0,10	-0,030110	
0,156667	0,10	-0,030070	
0,158333	0,10	-0,029900	
0,160000	0,10	-0,029510	
0,161667	0,10	-0,028230	
0,163333	0,10	-0,026980	
0,165000	0,10	-0,027450	
0,166667	0,10	-0,027350	
0,168333	0,10	-0,027740	
0,170000	0,10	-0,027210	
0,171667	0,10	-0,026740	
0,173333	0,10	-0,027200	
0,175000	0,10	-0,027400	
0,176667	0,10	-0,027840	
0,178333	0,10	-0,027870	
0,180000	0,10	-0,027530	
0,181667	0,10	-0,027170	
0,183333	0,10	-0,026700	
0,185000	0,10	-0,027230	
0,186667	0,10	-0,027750	
0,188333	0,10	-0,028210	
0,190000	0,10	-0,029110	
0,191667	0,10	-0,028760	
0,193333	0,10	-0,028000	
0,195000	0,10	-0,027540	
0,196667	0,10	-0,027140	
0,198333	0,10	-0,027500	
0,200000	0,10	-0,028480	
0,201667	0,10	-0,028320	
0,203333	0,10	-0,027420	
0,205000	0,10	-0,027090	
0,206667	0,10	-0,027140	
0,208333	0,10	-0,027150	
0,210000	0,10	-0,026490	
