Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\30925.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	25.1 24h
Sample Number	17
Sample Position	RB7
Sample ID	30925
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	04:16:04
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	7b8e910a-a2a7-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,7996
Signal Max.	751,483980
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	0,139650	
0,001667	0,10	0,139610	
0,003333	0,10	0,139490	
0,005000	0,10	0,140440	
0,006667	0,10	0,140400	
0,008333	0,10	0,139290	
0,010000	0,10	0,138270	
0,011667	0,10	0,137220	
0,013333	0,10	0,138050	
0,015000	0,10	0,138770	
0,016667	0,10	0,138420	
0,018333	0,10	0,138270	
0,020000	0,10	0,137930	
0,021667	0,10	0,137510	
0,023333	0,10	0,137500	
0,025000	0,10	0,137230	
0,026667	0,10	0,137500	
0,028333	0,10	0,137810	
0,030000	0,10	0,138210	
0,031667	0,10	0,138030	
0,033333	0,10	0,136840	
0,035000	0,10	0,136370	
0,036667	0,10	0,136800	
0,038333	0,10	0,137450	
0,040000	0,10	0,137420	
0,041667	0,10	0,137260	
0,043333	0,10	0,137300	
0,045000	0,10	0,137800	
0,046667	0,10	0,137700	
0,048333	0,10	0,137660	
0,050000	0,10	0,137750	
0,051667	0,10	0,136680	
0,053333	0,10	0,136030	
0,055000	0,10	0,136560	
0,056667	0,10	0,136860	
0,058333	0,10	0,136980	
0,060000	0,10	0,137540	
0,061667	0,10	0,138710	
0,063333	0,10	0,139270	
0,065000	0,10	0,138880	
0,066667	0,10	0,138390	
0,068333	0,10	0,136850	
0,070000	0,10	0,136260	
0,071667	0,10	0,137220	
0,073333	0,10	0,137350	
0,075000	0,10	0,138300	
0,076667	0,10	0,138250	
0,078333	0,10	0,138980	
0,080000	0,10	0,139320	
0,081667	0,10	0,139840	
0,083333	0,10	0,140640	
0,085000	0,10	0,140000	
0,086667	0,10	0,139760	
0,088333	0,10	0,139740	
0,090000	0,10	0,139920	
0,091667	0,10	0,140430	
0,093333	0,10	0,140740	
0,095000	0,10	0,140440	
0,096667	0,10	0,139760	
0,098333	0,10	0,140160	
0,100000	0,10	0,139200	
0,101667	0,10	0,138230	
0,103333	0,10	0,139070	
0,105000	0,10	0,140570	
0,106667	0,10	0,141110	
0,108333	0,10	0,141180	
0,110000	0,10	0,140300	
0,111667	0,10	0,139380	
0,113333	0,10	0,139330	
0,115000	0,10	0,139270	
0,116667	0,10	0,139780	
0,118333	0,10	0,140780	
0,120000	0,10	0,141080	
0,121667	0,10	0,140920	
0,123333	0,10	0,140630	
0,125000	0,10	0,140600	
0,126667	0,10	0,140210	
0,128333	0,10	0,139460	
0,130000	0,10	0,139470	
0,131667	0,10	0,139360	
0,133333	0,10	0,138840	
0,135000	0,10	0,138790	
0,136667	0,10	0,139630	
0,138333	0,10	0,139720	
0,140000	0,10	0,140030	
0,141667	0,10	0,140730	
0,143333	0,10	0,140720	
0,145000	0,10	0,140290	
0,146667	0,10	0,139360	
0,148333	0,10	0,138850	
0,150000	0,10	0,138470	
0,151667	0,10	0,137950	
0,153333	0,10	0,137740	
0,155000	0,10	0,137430	
0,156667	0,10	0,137500	
0,158333	0,10	0,137410	
0,160000	0,10	0,137560	
0,161667	0,10	0,138530	
0,163333	0,10	0,138950	
0,165000	0,10	0,138870	
0,166667	0,10	0,139510	
0,168333	0,10	0,139770	
0,170000	0,10	0,139890	
0,171667	0,10	0,139370	
0,173333	0,10	0,139520	
0,175000	0,10	0,138150	
0,176667	0,10	0,137110	
0,178333	0,10	0,137130	
0,180000	0,10	0,137440	
0,181667	0,10	0,138390	
0,183333	0,10	0,138540	
0,185000	0,10	0,138230	
0,186667	0,10	0,137430	
0,188333	0,10	0,137950	
0,190000	0,10	0,138110	
0,191667	0,10	0,137710	
0,193333	0,10	0,138900	
0,195000	0,10	0,139470	
0,196667	0,10	0,139770	
0,198333	0,10	0,139220	
0,200000	0,10	0,138380	
0,201667	0,10	0,138700	
0,203333	0,10	0,138690	
0,205000	0,10	0,139040	
0,206667	0,10	0,138790	
0,208333	0,10	0,139240	
0,210000	0,10	0,139220	
0,211667	0,10	0,139220	
0,213333	0,10	0,139160	
0,215000	0,10	0,138910	
0,216667	0,10	0,138700	
0,218333	0,10	0,139460	
0,220000	0,10	0,139220	
0,221667	0,10	0,138340	
0,223333	0,10	0,138300	
0,225000	0,10	0,138500	
0,226667	0,10	0,139000	
0,228333	0,10	0,138760	
0,230000	0,10	0,138080	
0,231667	0,10	0,138420	
0,233333	0,10	0,137730	
0,235000	0,10	0,137670	
0,236667	0,10	0,137540	
0,238333	0,10	0,137290	
0,240000	0,10	0,136240	
0,241667	0,10	0,135930	
0,243333	0,10	0,136560	
0,245000	0,10	0,136810	
0,246667	0,10	0,136600	
0,248333	0,10	0,136300	
0,250000	0,10	0,137150	
0,251667	0,10	0,137080	
0,253333	0,10	0,137630	
0,255000	0,10	0,137170	
0,256667	0,10	0,137140	
0,258333	0,10	0,137370	
0,260000	0,10	0,138010	
0,261667	0,10	0,138370	
0,263333	0,10	0,139010	
0,265000	0,10	0,139420	
0,266667	0,10	0,140860	
0,268333	0,10	0,141960	
0,270000	0,10	0,141640	
0,271667	0,10	0,141240	
0,273333	0,10	0,141080	
0,275000	0,10	0,140020	
0,276667	0,10	0,139700	
0,278333	0,10	0,139600	
0,280000	0,10	0,139390	
0,281667	0,10	0,139730	
0,283333	0,10	0,139450	
0,285000	0,10	0,139830	
0,286667	0,10	0,139830	
0,288333	0,10	0,140000	
0,290000	0,10	0,139840	
0,291667	0,10	0,139450	
0,293333	0,10	0,139010	
0,295000	0,10	0,138000	
0,296667	0,10	0,138320	
0,298333	0,10	0,138590	
0,300000	0,10	0,138340	
0,301667	0,10	0,138450	
0,303333	0,10	0,139280	
0,305000	0,10	0,138420	
0,306667	0,10	0,138460	
0,308333	0,10	0,139000	
0,310000	0,10	0,139510	
0,311667	0,10	0,139710	
0,313333	0,10	0,139190	
0,315000	0,10	0,139660	
0,316667	0,10	0,140220	
0,318333	0,10	0,141300	
0,320000	0,10	0,141510	
0,321667	0,10	0,140860	
0,323333	0,10	0,141430	
0,325000	0,10	0,142360	
0,326667	0,10	0,142600	
0,328333	0,10	0,141770	
0,330000	0,10	0,141360	
0,331667	0,10	0,141000	
0,333333	0,10	0,140690	
0,335000	0,10	0,140760	
0,336667	0,10	0,141580	
0,338333	0,10	0,142530	
0,340000	0,10	0,143150	
0,341667	0,10	0,143310	
