Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\22.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	A 2,0 mM
Sample Number	33
Sample Position	RD5
Sample ID	22
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	17:56:42
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	1fa9859f-a31a-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-3,01182
Signal Max.	1121,507100
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	-0,005910	
0,001667	0,10	-0,005740	
0,003333	0,10	-0,004360	
0,005000	0,10	-0,003870	
0,006667	0,10	-0,003440	
0,008333	0,10	-0,003610	
0,010000	0,10	-0,003890	
0,011667	0,10	-0,004400	
0,013333	0,10	-0,003720	
0,015000	0,10	-0,002910	
0,016667	0,10	-0,002620	
0,018333	0,10	-0,003250	
0,020000	0,10	-0,004460	
0,021667	0,10	-0,005280	
0,023333	0,10	-0,005960	
0,025000	0,10	-0,006260	
0,026667	0,10	-0,006230	
0,028333	0,10	-0,005360	
0,030000	0,10	-0,004930	
0,031667	0,10	-0,004710	
0,033333	0,10	-0,005130	
0,035000	0,10	-0,004930	
0,036667	0,10	-0,004420	
0,038333	0,10	-0,004570	
0,040000	0,10	-0,005030	
0,041667	0,10	-0,005480	
0,043333	0,10	-0,006490	
0,045000	0,10	-0,007650	
0,046667	0,10	-0,008100	
0,048333	0,10	-0,008210	
0,050000	0,10	-0,008770	
0,051667	0,10	-0,010130	
0,053333	0,10	-0,011580	
0,055000	0,10	-0,012020	
0,056667	0,10	-0,011540	
0,058333	0,10	-0,011140	
0,060000	0,10	-0,011360	
0,061667	0,10	-0,010960	
0,063333	0,10	-0,011110	
0,065000	0,10	-0,010570	
0,066667	0,10	-0,010370	
0,068333	0,10	-0,011720	
0,070000	0,10	-0,011360	
0,071667	0,10	-0,010700	
