Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\10.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	25.3 0m
Sample Number	20
Sample Position	RC2
Sample ID	10
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	06:52:32
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	56c7952d-a2bd-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,93026
Signal Max.	1079,341460
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,000000	0,00	-0,037280	
0,001667	0,10	-0,037260	
0,003333	0,10	-0,037080	
0,005000	0,10	-0,036560	
0,006667	0,10	-0,035420	
0,008333	0,10	-0,035100	
0,010000	0,10	-0,034670	
0,011667	0,10	-0,034270	
0,013333	0,10	-0,033400	
0,015000	0,10	-0,032920	
0,016667	0,10	-0,032940	
0,018333	0,10	-0,032820	
0,020000	0,10	-0,032660	
0,021667	0,10	-0,033050	
0,023333	0,10	-0,032770	
0,025000	0,10	-0,032550	
0,026667	0,10	-0,032420	
0,028333	0,10	-0,033430	
0,030000	0,10	-0,034560	
0,031667	0,10	-0,033850	
0,033333	0,10	-0,034300	
0,035000	0,10	-0,034300	
0,036667	0,10	-0,033550	
0,038333	0,10	-0,033150	
0,040000	0,10	-0,033550	
0,041667	0,10	-0,034260	
0,043333	0,10	-0,033400	
0,045000	0,10	-0,033690	
0,046667	0,10	-0,033950	
0,048333	0,10	-0,033970	
0,050000	0,10	-0,033520	
0,051667	0,10	-0,032650	
0,053333	0,10	-0,031840	
0,055000	0,10	-0,030830	
0,056667	0,10	-0,030330	
0,058333	0,10	-0,030300	
0,060000	0,10	-0,030560	
0,061667	0,10	-0,029900	
0,063333	0,10	-0,029810	
0,065000	0,10	-0,029710	
0,066667	0,10	-0,030690	
0,068333	0,10	-0,030660	
0,070000	0,10	-0,031030	
0,071667	0,10	-0,030440	
0,073333	0,10	-0,029760	
0,075000	0,10	-0,029600	
0,076667	0,10	-0,029730	
0,078333	0,10	-0,029780	
0,080000	0,10	-0,029230	
0,081667	0,10	-0,029150	
0,083333	0,10	-0,028080	
0,085000	0,10	-0,028670	
0,086667	0,10	-0,029580	
0,088333	0,10	-0,029250	
0,090000	0,10	-0,028690	
0,091667	0,10	-0,028690	
0,093333	0,10	-0,028750	
0,095000	0,10	-0,028750	
0,096667	0,10	-0,029010	
0,098333	0,10	-0,028070	
0,100000	0,10	-0,028020	
0,101667	0,10	-0,029050	
0,103333	0,10	-0,029010	
0,105000	0,10	-0,029600	
0,106667	0,10	-0,030530	
0,108333	0,10	-0,030480	
0,110000	0,10	-0,030910	
0,111667	0,10	-0,030540	
0,113333	0,10	-0,029090	
0,115000	0,10	-0,028930	
0,116667	0,10	-0,029550	
0,118333	0,10	-0,030140	
0,120000	0,10	-0,030610	
0,121667	0,10	-0,031270	
0,123333	0,10	-0,031100	
0,125000	0,10	-0,030590	
0,126667	0,10	-0,029480	
0,128333	0,10	-0,029590	
0,130000	0,10	-0,029560	
0,131667	0,10	-0,028620	
0,133333	0,10	-0,027980	
0,135000	0,10	-0,027960	
0,136667	0,10	-0,027560	
0,138333	0,10	-0,028040	
0,140000	0,10	-0,028930	
0,141667	0,10	-0,028550	
0,143333	0,10	-0,028200	
0,145000	0,10	-0,027310	
0,146667	0,10	-0,026950	
0,148333	0,10	-0,026660	
0,150000	0,10	-0,026940	
0,151667	0,10	-0,027460	
0,153333	0,10	-0,027720	
0,155000	0,10	-0,028210	
0,156667	0,10	-0,028870	
0,158333	0,10	-0,028750	
0,160000	0,10	-0,028590	
0,161667	0,10	-0,028750	
0,163333	0,10	-0,028900	
0,165000	0,10	-0,028530	
0,166667	0,10	-0,027540	
0,168333	0,10	-0,027220	
0,170000	0,10	-0,027110	
0,171667	0,10	-0,028500	
0,173333	0,10	-0,028530	
0,175000	0,10	-0,028130	
0,176667	0,10	-0,027830	
0,178333	0,10	-0,026520	
0,180000	0,10	-0,025930	
0,181667	0,10	-0,025890	
0,183333	0,10	-0,025580	
0,185000	0,10	-0,025570	
0,186667	0,10	-0,025460	
0,188333	0,10	-0,025680	
0,190000	0,10	-0,026800	
0,191667	0,10	-0,026970	
0,193333	0,10	-0,026860	
0,195000	0,10	-0,026870	
0,196667	0,10	-0,027670	
0,198333	0,10	-0,027490	
0,200000	0,10	-0,027860	
0,201667	0,10	-0,027330	
0,203333	0,10	-0,027560	
0,205000	0,10	-0,028000	
0,206667	0,10	-0,029100	
0,208333	0,10	-0,029700	
0,210000	0,10	-0,029940	
0,211667	0,10	-0,029800	
0,213333	0,10	-0,028650	
0,215000	0,10	-0,028530	
0,216667	0,10	-0,028900	
0,218333	0,10	-0,028780	
0,220000	0,10	-0,028270	
0,221667	0,10	-0,027830	
0,223333	0,10	-0,028180	
0,225000	0,10	-0,028240	
0,226667	0,10	-0,028230	
0,228333	0,10	-0,028930	
0,230000	0,10	-0,028080	
0,231667	0,10	-0,027590	
0,233333	0,10	-0,027760	
0,235000	0,10	-0,028010	
0,236667	0,10	-0,028870	
0,238333	0,10	-0,028310	
0,240000	0,10	-0,028510	
0,241667	0,10	-0,028880	
0,243333	0,10	-0,028710	
0,245000	0,10	-0,028860	
0,246667	0,10	-0,027670	
0,248333	0,10	-0,027450	
0,250000	0,10	-0,026970	
0,251667	0,10	-0,026130	
0,253333	0,10	-0,025710	
0,255000	0,10	-0,025670	
0,256667	0,10	-0,025240	
0,258333	0,10	-0,025650	
0,260000	0,10	-0,025640	
0,261667	0,10	-0,025500	
0,263333	0,10	-0,025210	
0,265000	0,10	-0,025510	
0,266667	0,10	-0,024830	
0,268333	0,10	-0,024900	
0,270000	0,10	-0,025520	
0,271667	0,10	-0,025550	
0,273333	0,10	-0,024930	
0,275000	0,10	-0,024450	
0,276667	0,10	-0,023780	
0,278333	0,10	-0,023660	
0,280000	0,10	-0,023990	
0,281667	0,10	-0,024310	
0,283333	0,10	-0,024840	
0,285000	0,10	-0,024990	
0,286667	0,10	-0,025290	
0,288333	0,10	-0,025560	
0,290000	0,10	-0,024900	
0,291667	0,10	-0,025260	
0,293333	0,10	-0,026490	
0,295000	0,10	-0,025950	
0,296667	0,10	-0,024840	
0,298333	0,10	-0,024650	
0,300000	0,10	-0,024940	
0,301667	0,10	-0,025450	
0,303333	0,10	-0,026720	
0,305000	0,10	-0,026510	
0,306667	0,10	-0,026850	
0,308333	0,10	-0,027260	
0,310000	0,10	-0,027020	
0,311667	0,10	-0,027100	
0,313333	0,10	-0,027180	
0,315000	0,10	-0,027600	
0,316667	0,10	-0,028250	
0,318333	0,10	-0,027040	
0,320000	0,10	-0,026020	
0,321667	0,10	-0,026930	
0,323333	0,10	-0,028350	
0,325000	0,10	-0,028510	
0,326667	0,10	-0,028130	
0,328333	0,10	-0,027980	
0,330000	0,10	-0,027570	
0,331667	0,10	-0,027610	
0,333333	0,10	-0,026970	
0,335000	0,10	-0,026760	
0,336667	0,10	-0,027280	
0,338333	0,10	-0,028110	
0,340000	0,10	-0,028530	
0,341667	0,10	-0,028150	
0,343333	0,10	-0,027880	
0,345000	0,10	-0,027580	
0,346667	0,10	-0,026860	
0,348333	0,10	-0,026000	
0,350000	0,10	-0,025500	
0,351667	0,10	-0,025310	
0,353333	0,10	-0,025190	
0,355000	0,10	-0,026130	
0,356667	0,10	-0,025570	
0,358333	0,10	-0,024630	
0,360000	0,10	-0,023790	
0,361667	0,10	-0,023650	
0,363333	0,10	-0,024010	
0,365000	0,10	-0,023860	
0,366667	0,10	-0,023890	
0,368333	0,10	-0,024200	
0,370000	0,10	-0,023120	
0,371667	0,10	-0,023020	
0,373333	0,10	-0,024440	
0,375000	0,10	-0,025160	
0,376667	0,10	-0,025270	
0,378333	0,10	-0,025450	
0,380000	0,10	-0,026550	
0,381667	0,10	-0,027300	
0,383333	0,10	-0,027260	
0,385000	0,10	-0,027330	
0,386667	0,10	-0,027740	
0,388333	0,10	-0,027990	
0,390000	0,10	-0,027510	
0,391667	0,10	-0,026720	
0,393333	0,10	-0,026620	
0,395000	0,10	-0,025550	
0,396667	0,10	-0,024880	
0,398333	0,10	-0,025180	
0,400000	0,10	-0,024580	
0,401667	0,10	-0,023560	
0,403333	0,10	-0,022420	
0,405000	0,10	-0,022360	
0,406667	0,10	-0,022950	
0,408333	0,10	-0,022760	
0,410000	0,10	-0,022740	
0,411667	0,10	-0,022940	
0,413333	0,10	-0,023350	
0,415000	0,10	-0,022940	
0,416667	0,10	-0,022390	
0,418333	0,10	-0,021880	
0,420000	0,10	-0,021170	
0,421667	0,10	-0,020080	
0,423333	0,10	-0,019940	
0,425000	0,10	-0,019540	
0,426667	0,10	-0,020350	
0,428333	0,10	-0,020550	
0,430000	0,10	-0,020440	
0,431667	0,10	-0,020850	
0,433333	0,10	-0,020960	
0,435000	0,10	-0,020980	
0,436667	0,10	-0,020580	
0,438333	0,10	-0,020740	
0,440000	0,10	-0,020990	
0,441667	0,10	-0,021780	
0,443333	0,10	-0,021470	
0,445000	0,10	-0,021750	
0,446667	0,10	-0,022310	
0,448333	0,10	-0,021710	
0,450000	0,10	-0,020470	
0,451667	0,10	-0,019590	
0,453333	0,10	-0,019700	
0,455000	0,10	-0,021060	
0,456667	0,10	-0,021750	
0,458333	0,10	-0,022720	
0,460000	0,10	-0,023390	
0,461667	0,10	-0,024050	
0,463333	0,10	-0,024330	
0,465000	0,10	-0,024300	
0,466667	0,10	-0,025100	
0,468333	0,10	-0,024920	
0,470000	0,10	-0,024090	
0,471667	0,10	-0,023360	
0,473333	0,10	-0,023540	
0,475000	0,10	-0,022990	
0,476667	0,10	-0,022130	
0,478333	0,10	-0,022010	
